tree_tip,matched_MDD_name,match_type,order,family,genus,iucn_category,extinct_flag
Neamblysomus_gunningi,Neamblysomus_gunningi,direct,Afrosoricida,Chrysochloridae,Neamblysomus,EN,0.0
Amblysomus_septentrionalis,Amblysomus_septentrionalis,direct,Afrosoricida,Chrysochloridae,Amblysomus,NT,0.0
Amblysomus_hottentotus,Amblysomus_hottentotus,direct,Afrosoricida,Chrysochloridae,Amblysomus,LC,0.0
Chlorotalpa_sclateri,Chlorotalpa_sclateri,direct,Afrosoricida,Chrysochloridae,Chlorotalpa,LC,0.0
Chlorotalpa_duthieae,Chlorotalpa_duthieae,direct,Afrosoricida,Chrysochloridae,Chlorotalpa,VU,0.0
Chrysochloris_visagiei,Chrysochloris_visagiei,direct,Afrosoricida,Chrysochloridae,Chrysochloris,DD,0.0
Cryptochloris_zyli,Cryptochloris_zyli,direct,Afrosoricida,Chrysochloridae,Cryptochloris,EN,0.0
Cryptochloris_wintoni,Cryptochloris_wintoni,direct,Afrosoricida,Chrysochloridae,Cryptochloris,CR,0.0
Chrysochloris_asiatica,Chrysochloris_asiatica,direct,Afrosoricida,Chrysochloridae,Chrysochloris,LC,0.0
Chrysochloris_stuhlmanni,Chrysochloris_stuhlmanni,direct,Afrosoricida,Chrysochloridae,Chrysochloris,LC,0.0
Eremitalpa_granti,Eremitalpa_granti,direct,Afrosoricida,Chrysochloridae,Eremitalpa,LC,0.0
Dasypus_yepesi,Dasypus_mazzai,synonym:MSW3,Cingulata,Dasypodidae,Dasypus,DD,0.0
Dasypus_sabanicola,Dasypus_sabanicola,direct,Cingulata,Dasypodidae,Dasypus,NT,0.0
Dasypus_novemcinctus,Dasypus_novemcinctus,direct,Cingulata,Dasypodidae,Dasypus,LC,0.0
Dasypus_septemcinctus,Dasypus_septemcinctus,direct,Cingulata,Dasypodidae,Dasypus,LC,0.0
Dasypus_hybridus,Dasypus_septemcinctus,synonym:nominalName,Cingulata,Dasypodidae,Dasypus,LC,0.0
Dasypus_pilosus,Dasypus_pilosus,direct,Cingulata,Dasypodidae,Dasypus,DD,0.0
Dasypus_kappleri,Dasypus_kappleri,direct,Cingulata,Dasypodidae,Dasypus,LC,0.0
Zaedyus_pichiy,Zaedyus_pichiy,direct,Cingulata,Euphractidae,Zaedyus,NT,0.0
Euphractus_sexcinctus,Euphractus_sexcinctus,direct,Cingulata,Euphractidae,Euphractus,LC,0.0
Chaetophractus_vellerosus,Dasyphractus_vellerosus,synonym:MSW3,Cingulata,Euphractidae,Dasyphractus,LC,0.0
Chaetophractus_nationi,,unmatched,,,,,
Chaetophractus_villosus,Chaetophractus_villosus,direct,Cingulata,Euphractidae,Chaetophractus,LC,0.0
Chlamyphorus_truncatus,Chlamyphorus_truncatus,direct,Cingulata,Chlamyphoridae,Chlamyphorus,DD,0.0
Calyptophractus_retusus,Calyptophractus_retusus,direct,Cingulata,Chlamyphoridae,Calyptophractus,DD,0.0
Tolypeutes_tricinctus,Tolypeutes_tricinctus,direct,Cingulata,Tolypeutidae,Tolypeutes,VU,0.0
