tree,PD,ePDloss
272,126722.680331152,13611.9549624594
273,129693.777296678,14141.7302385098
274,125540.027049318,13482.9261745465
275,126694.485769437,14081.0597191227
276,125500.221676759,13331.7721731942
277,126784.777442585,13795.6688714427
278,128608.464949032,14170.5270304717
279,127130.076251314,13645.9644996376
280,123764.170287439,13233.6367570522
281,126336.22770111,13898.8465725065
282,124988.815521352,13797.3900259375
283,125844.679322611,13594.5894917288
284,125555.0161875,13576.8563056841
285,124861.519132511,13429.678391061
286,126193.324619895,13559.3637250483
287,125320.09709013,13518.1872979201
288,125472.940272963,13251.6082574542
289,126217.562279599,14031.7679349515
290,126055.249022053,13618.784487601
291,124806.13823699,13809.5640670128
292,125044.406850979,13821.479445956
293,124912.03389071,13455.8164160286
294,127072.888562128,14063.0115704497
295,127041.527435562,13990.8398861825
296,125654.439523203,13591.6287157693
297,126671.003407821,13870.6734665622
298,128723.543416113,14069.3318792408
299,132881.23082176,14402.2732017096
300,120920.8507754,13372.2636249647
301,132139.357836372,14571.9348348507
302,128198.449469741,13708.3462811883
303,129482.757634643,14256.899217281
304,131156.502558568,14379.1346239088
305,130698.328412422,14572.7078026401
306,134003.219175586,15078.1706020884
307,130914.689822968,14761.6544788346
308,131989.774609563,14569.8107381218
309,131075.18898238,14900.4585381988
310,132106.076360833,14618.1733641725
311,130890.228266851,14287.3370131456
312,127543.823743374,13714.8178951828
313,125188.767262359,13618.424452204
314,126710.092240974,14175.0634284083
315,126665.72336865,14034.5605651255
316,129781.673446067,13935.449672406
317,127306.287683092,13509.0894042006
318,129414.784642919,13815.9008961219
319,127718.2074951,13885.8052674283
320,128433.79837135,14057.2244633083
321,128902.447202179,14036.0110101846
322,130080.072349019,14553.3506437802
323,130953.098169625,14698.9300839654
324,130834.039869331,14278.0268411184
325,127389.429909914,13886.2788539035
326,128680.559012295,14000.5992799941
327,131065.320938964,14413.5000645389
328,130593.030798556,13749.6242210129
329,131777.133759156,14246.7712111333
330,130336.14525159,14150.7223012804
331,131168.465073836,14494.3536720331
332,131185.131886276,14217.763126882
333,129150.051998301,14353.5890992054
334,127640.248941512,14147.7838733557
335,138409.685245839,14988.0193920438
336,129866.416802149,14226.7485705808
337,127281.379273441,13707.7730361861
338,126472.974592431,13543.4835360979
339,128599.875041042,13985.0570305462
340,127813.528356054,13972.9632557706
341,129300.327765318,14022.5993260248
342,127021.363390625,13853.7153420376
343,129538.463415815,14566.7916920805
344,128891.732343351,14383.6853606451
345,124993.705051143,13449.4849793722
346,127812.638261656,13944.9621665369
347,126733.576529776,14124.1038850287
348,127016.586054098,14003.5618674194
349,128484.219787332,14226.9649364458
350,128785.053469049,14213.487631685
351,127743.254356055,14161.8507942333
352,128155.8250265,13862.8968215729
353,130130.380557478,14543.5357860368
354,127274.760602686,13674.0190600752
355,123703.005556136,13386.1229659073
356,126591.680154533,14425.6926749261
357,115702.7784379,12523.974819922
358,128388.989654152,14097.7690484957
359,126266.575924284,13343.8447314573
360,126560.547884764,14453.838776554
361,128434.259836623,14264.535878265
362,125092.704179889,13774.0520658772
363,130661.822049385,14323.7703959437
364,129806.261998788,14054.4261459849
365,129788.615275661,14487.0196172047
366,135173.182407032,14993.6295399416
367,129594.651821029,14028.1182345861
368,134856.651919742,14556.1981872312
369,128365.542059306,14351.7871247596
370,135097.01158956,14893.3019880641
371,125204.527438143,13511.7620001279
372,135128.192840023,14461.2681642794
373,129530.709539564,14363.3237318579
374,128806.471760404,14439.6592422249
375,126803.448422905,14051.2645730122
376,128274.983229615,14066.4248573158
377,126693.003699457,13984.916456065
378,125417.131183332,13651.7986463685
379,124889.365725456,13556.9052673993
380,127806.930341803,13960.8573929408
381,127567.775215425,13739.7532049835
382,129034.160081562,14313.0668464441
383,129590.030822832,14267.7923096424
384,127111.537028219,14074.2757149883
