tree,PD,ePDloss
160,28218.5673755947,4116.57316597486
161,38437.065251612,5959.77379772916
162,38075.5882892227,5892.33049385937
163,38285.278919359,5931.48508123899
164,38577.2864669204,5820.97599825627
165,27160.3944983611,3745.18218739062
166,27396.4757337494,3907.84748282783
167,37181.3847564703,5346.65536674604
168,37789.4233598727,5681.83233274178
169,27491.9970498809,3896.96255489646
170,27516.7081294514,3933.08444204834
171,38175.5748042451,5845.64346955108
172,38488.7257802475,5837.50908469175
173,36853.5663634622,5510.94993923918
174,36825.9977157249,5666.58270438541
175,38642.3651714218,5849.89271220896
176,37379.6299913054,5634.90689014058
177,27299.8081496519,3846.75798967394
178,28390.4641758059,4062.85341272416
179,39268.412602272,6015.55245815816
180,38496.1635569498,5906.14302370892
181,37200.0873598212,5459.18349656928
182,36873.3261260773,5493.12367969402
183,39292.0592693152,6239.52226420228
184,38391.4829750683,6196.45941161789
185,28124.1244014686,4056.12141723321
186,28265.7973411955,4279.18047322772
187,27460.9316703143,3736.21077724478
188,27261.6385419439,3812.03692538273
189,27108.287395534,3699.90611926294
190,27803.0314199143,4049.59589532049
191,27629.9176531577,3995.34940538066
192,27040.5596805088,3796.83145990479
193,27775.0279112817,4044.96834551868
194,27464.7731346936,4136.41167516261
195,38684.0111992443,6030.04066402228
196,37980.9148228598,5763.57018597446
197,37928.4441778127,5611.71218765478
198,37514.4041018275,5558.4860179163
199,39591.0206342998,6012.15150955981
200,39148.3053889323,5984.74143309817
201,37633.3274325587,5389.39001133004
202,37047.1333310543,5619.78686651736
203,40064.9402822395,6552.58713794493
204,40507.1878089137,6149.88392556005
205,38893.138212176,6038.08240362983
206,38794.6516293003,6266.7663857633
207,39933.2399372719,6054.975617251
208,38773.1901430859,6246.89179049182
209,39909.9440113746,6467.35058084657
210,38917.3994880708,5481.93594988159
211,38934.3982895397,6054.03961639467
212,38856.7554873276,5977.7544817871
213,39058.2285765033,5944.99166520842
214,37433.0362754893,5593.92612025344
215,38567.009722069,5936.78710762757
