EDGErank,species,order,family,genus,RLcat,EDGEmed,EDGEiqr,EDmed,EDiqr,pextmed,pextiqr,TBLmn,isEDGEsp,isEDGEsp_frac,n_trees,match,mdd_sciName,extinct,EDGE_list_rank
700,Macaca_munzala,Primates,Cercopithecidae,Macaca,EN,0.858267189476292,0.561971134983258,1.80720093437832,0.686863706650764,0.488034627054486,0.287299114526453,1.49549366107344,1,0.554,1000,direct,Macaca_munzala,0.0,441
706,Mesoplodon_perrini,Artiodactyla,Ziphiidae,Mesoplodon,EN,0.853532362469405,1.30500130539954,1.75256448447304,2.41979270558915,0.489323359367054,0.272883038937525,1.9088664598259,1,0.504,1000,direct,Mesoplodon_perrini,0.0,442
709,Eliurus_petteri,Rodentia,Nesomyidae,Voalavo,EN,0.851040012851867,1.17053378185,1.83622385034432,2.28079916927854,0.479690237020728,0.257234433366568,2.19285480875493,1,0.517,1000,synonym:MSW3,Voalavo_petteri,0.0,443
710,Hylopetes_sipora,Rodentia,Sciuridae,Hylopetes,EN,0.850579547339518,1.15058737726315,1.7821004674483,2.1057465900252,0.497316925356789,0.272578089251908,1.88205182457997,1,0.5,1000,direct,Hylopetes_sipora,0.0,444
712,Hipposideros_marisae,Chiroptera,Hipposideridae,Hipposideros,VU,0.847021782936853,0.629693030231843,3.70375639374715,2.41783199234382,0.246293916383256,0.0789972153889945,2.78684169599922,1,0.786,1000,direct,Hipposideros_marisae,0.0,445
713,Hippocamelus_bisulcus,Artiodactyla,Cervidae,Hippocamelus,EN,0.846335096805875,0.515469257444325,1.75048632062097,0.719981244759602,0.488411217654925,0.264378420647005,1.69392379284309,1,0.521,1000,direct,Hippocamelus_bisulcus,0.0,446
714,Miniopterus_schreibersii,Chiroptera,Miniopteridae,Miniopterus,VU,0.846131024753472,0.908980931992449,3.70734326444897,3.80087953541813,0.248002500972842,0.0739231889752558,3.11043335630414,1,0.699,1000,direct,Miniopterus_schreibersii,0.0,447
720,Microgale_monticola,Afrosoricida,Tenrecidae,Microgale,VU,0.84143395724869,1.31022202273104,3.5617975433457,5.38071103651356,0.236477482828949,0.0805461284535841,5.10216105675405,1,0.754,1000,direct,Microgale_monticola,0.0,448
728,Lophocebus_aterrimus,Primates,Cercopithecidae,Lophocebus,VU,0.834488357187785,0.374035529004612,3.51835153792482,1.13863842452733,0.243420213849582,0.0793943178469099,2.97603784800348,1,0.961,1000,direct,Lophocebus_aterrimus,0.0,449
729,Archboldomys_luzonensis,Rodentia,Muridae,Archboldomys,VU,0.832949209253331,0.469208418886224,3.33264433040796,1.89708739466071,0.247787756236223,0.0755298859957356,2.600008711108,1,0.994,1000,direct,Archboldomys_luzonensis,0.0,450
731,Spalax_graecus,Rodentia,Spalacidae,Spalax,VU,0.828632017804927,0.411662035174585,3.51948850889369,1.36751539086538,0.245920399871511,0.0758503432255372,3.36556055078872,1,0.887,1000,direct,Spalax_graecus,0.0,451
737,Caenolestes_sangay,Paucituberculata,Caenolestidae,Caenolestes,VU,0.825305104999119,0.396712838251917,3.55858533752351,1.42802900652312,0.240840079238177,0.0737641299534085,2.91779627136036,1,0.924,1000,direct,Caenolestes_sangay,0.0,452
739,Brachytarsomys_villosa,Rodentia,Nesomyidae,Brachytarsomys,VU,0.821783880646021,1.21482055658252,3.56330347257195,5.33459994565315,0.240876811501169,0.0732538340917496,4.32186332624314,1,0.759,1000,synonym:MSW3,Brachytarsomys_villosus,0.0,453
744,Vampyressa_melissa,Chiroptera,Phyllostomidae,Vampyressa,VU,0.819027343104467,0.37738066580096,3.46446154768917,1.23388590687742,0.244554875701307,0.0768092187901733,3.19286436110819,1,0.906,1000,direct,Vampyressa_melissa,0.0,454
746,Mandrillus_sphinx,Primates,Cercopithecidae,Mandrillus,VU,0.815561994486295,0.299945371197934,3.4017903706007,0.814510658951951,0.244149009477822,0.0787308458941352,2.74614588585,1,1.0,1000,direct,Mandrillus_sphinx,0.0,455
749,Dendrolagus_dorianus,Diprotodontia,Macropodidae,Dendrolagus,VU,0.810553022432109,0.415072405612753,3.53253498628577,1.40226699988569,0.242146283639138,0.0781941753051996,2.77748641709813,1,0.939,1000,direct,Dendrolagus_dorianus,0.0,456
752,Xeromys_myoides,Rodentia,Muridae,Xeromys,VU,0.80854077029676,0.637147756617666,3.57467405000043,2.55073335051273,0.248458521683314,0.0765225932605688,2.86636916628705,1,0.748,1000,direct,Xeromys_myoides,0.0,457
765,Arctonyx_collaris,Carnivora,Mustelidae,Arctonyx,VU,0.783387980364415,0.31026382922399,3.30535481706954,0.849254782165395,0.240819630961062,0.0803710783872584,3.346522133266,1,1.0,1000,direct,Arctonyx_collaris,0.0,458
766,Megaerops_kusnotoi,Chiroptera,Pteropodidae,Megaerops,VU,0.781727256534919,0.310251519521042,3.24969370930307,0.976881237121441,0.245508527673304,0.0799513460502642,3.262036170044,1,0.997,1000,direct,Megaerops_kusnotoi,0.0,459
