clade,species,RLcat,match,matched_IUCN_name,order,family
mammals,Talpa_caeca,LC,direct,Talpa_caeca,Eulipotyphla,Talpidae
mammals,Talpa_romana,LC,direct,Talpa_romana,Eulipotyphla,Talpidae
mammals,Talpa_occidentalis,LC,direct,Talpa_occidentalis,Eulipotyphla,Talpidae
mammals,Talpa_europaea,LC,direct,Talpa_europaea,Eulipotyphla,Talpidae
mammals,Talpa_levantis,LC,direct,Talpa_levantis,Eulipotyphla,Talpidae
mammals,Talpa_davidiana,DD,direct,Talpa_davidiana,Eulipotyphla,Talpidae
mammals,Talpa_stankovici,LC,direct,Talpa_stankovici,Eulipotyphla,Talpidae
mammals,Talpa_caucasica,LC,direct,Talpa_caucasica,Eulipotyphla,Talpidae
mammals,Talpa_altaica,LC,direct,Talpa_altaica,Eulipotyphla,Talpidae
mammals,Urotrichus_talpoides,LC,direct,Urotrichus_talpoides,Eulipotyphla,Talpidae
mammals,Dymecodon_pilirostris,LC,direct,Dymecodon_pilirostris,Eulipotyphla,Talpidae
mammals,Scaptonyx_fusicaudus,LC,direct,Scaptonyx_fusicaudus,Eulipotyphla,Talpidae
mammals,Condylura_cristata,LC,direct,Condylura_cristata,Eulipotyphla,Talpidae
mammals,Congosorex_verheyeni,LC,direct,Congosorex_verheyeni,Eulipotyphla,Soricidae
mammals,Congosorex_polli,DD,direct,Congosorex_polli,Eulipotyphla,Soricidae
mammals,Congosorex_phillipsorum,CR,direct,Congosorex_phillipsorum,Eulipotyphla,Soricidae
mammals,Myosorex_schalleri,DD,direct,Myosorex_schalleri,Eulipotyphla,Soricidae
mammals,Myosorex_jejei,NT,direct,Myosorex_jejei,Eulipotyphla,Soricidae
mammals,Myosorex_rumpii,EN,direct,Myosorex_rumpii,Eulipotyphla,Soricidae
mammals,Myosorex_tenuis,EN,direct,Myosorex_tenuis,Eulipotyphla,Soricidae
mammals,Myosorex_zinki,LC,direct,Myosorex_zinki,Eulipotyphla,Soricidae
mammals,Myosorex_babaulti,LC,direct,Myosorex_babaulti,Eulipotyphla,Soricidae
mammals,Myosorex_kabogoensis,DD,direct,Myosorex_kabogoensis,Eulipotyphla,Soricidae
mammals,Myosorex_varius,LC,direct,Myosorex_varius,Eulipotyphla,Soricidae
mammals,Myosorex_longicaudatus,EN,direct,Myosorex_longicaudatus,Eulipotyphla,Soricidae
mammals,Myosorex_cafer,VU,direct,Myosorex_cafer,Eulipotyphla,Soricidae
