EDGErank,EDrank,species,order,family,genus,RLcat,EDGEmed,EDGEiqr,EDmed,EDiqr,pextmed,pextiqr,TBLmn,isEDGEsp,isEDGEsp_frac,n_trees,match,mdd_sciName,extinct
4567,3419,Crocidura_phanluongi,Eulipotyphla,Soricidae,Crocidura,LC,0.0687983037356197,0.0997543473996927,1.40059639033573,1.82640540735238,0.0509499428207388,0.0276844994526127,1.64330202669277,0,0.0,1000,direct,Crocidura_phanluongi,0.0
4568,3541,Tadarida_kuboriensis,Chiroptera,Molossidae,Austronomus,LC,0.0687842208022011,0.109465021749022,1.3522686423621,2.17901634607187,0.0504841535133371,0.0281527403083356,1.75075639854917,0,0.0,1000,synonym:MSW3,Austronomus_kuboriensis,0.0
4569,3049,Oxymycterus_nasutus,Rodentia,Cricetidae,Oxymycterus,LC,0.0687527874053097,0.069871287612119,1.58637127105099,1.27596957770923,0.050605484478701,0.0273325331036169,1.31880570581237,0,0.0,1000,direct,Oxymycterus_nasutus,0.0
4570,3409,Hipposideros_pratti,Chiroptera,Hipposideridae,Hipposideros,LC,0.0687304734422883,0.0461791368677825,1.40418517012377,0.592002783385422,0.0508229062163712,0.0275526382062016,1.31360672433416,0,0.0,1000,synonym:MSW3,Hipposideros_swinhoii,0.0
4571,3259,Neotoma_floridana,Rodentia,Cricetidae,Neotoma,LC,0.0686768628440445,0.0474529345110459,1.47112694032734,0.662659997812012,0.0504962804199115,0.0275591785773385,1.26444808182696,0,0.0,1000,direct,Neotoma_floridana,0.0
4572,3372,Heteromys_catopterius,Rodentia,Heteromyidae,Heteromys,LC,0.0686254420682002,0.0946486979924863,1.42306569747551,1.82718858287526,0.0496739073429046,0.0273835114678311,1.41652635914019,0,0.0,1000,direct,Heteromys_catopterius,0.0
4573,3492,Mastomys_natalensis,Rodentia,Muridae,Mastomys,LC,0.0685793267690292,0.0399012119146071,1.3677646162452,0.383395081135703,0.051539881150557,0.0277648587905554,1.3280279707261,0,0.0,1000,direct,Mastomys_natalensis,0.0
4574,3477,Hylomyscus_endorobae,Rodentia,Muridae,Hylomyscus,LC,0.0685180249112614,0.041731476498108,1.37441699771577,0.456902847260557,0.0514388334317832,0.027799815134167,1.33945658895267,0,0.0,1000,direct,Hylomyscus_endorobae,0.0
4575,3498,Glauconycteris_alboguttata,Chiroptera,Vespertilionidae,Glauconycteris,LC,0.0685118213203893,0.114302948846475,1.36668385153167,2.11168203299535,0.0500368161733118,0.0262918109998495,1.74777518393932,0,0.0,1000,direct,Glauconycteris_alboguttata,0.0
4576,3399,Lophostoma_silvicolum,Chiroptera,Phyllostomidae,Lophostoma,LC,0.0684266774932612,0.0511955396682233,1.40831386558758,0.751349497835619,0.0505530585536003,0.0282954071309575,1.21432780710412,0,0.0,1000,synonym:MSW3,Lophostoma_silvicola,0.0
4577,3565,Myoictis_melas,Dasyuromorphia,Dasyuridae,Myoictis,LC,0.0684263758736554,0.0636006574426058,1.34326353436992,1.07533213421258,0.0496649534958475,0.0277808175879143,0.845716608351,0,0.0,1000,direct,Myoictis_melas,0.0
4578,3472,Apodemus_flavicollis,Rodentia,Muridae,Apodemus,LC,0.0684176292540741,0.0414719512468921,1.37804196132421,0.484002991739865,0.050967125175462,0.0271485959186251,1.31530151770896,0,0.0,1000,direct,Apodemus_flavicollis,0.0
4579,3451,Apodemus_ponticus,Rodentia,Muridae,Apodemus,LC,0.0684105852246376,0.0422935754614634,1.38475256618337,0.47283151329823,0.050967125175462,0.0271485959186251,1.32119048210577,0,0.0,1000,direct,Apodemus_ponticus,0.0
4580,3226,Gerbillus_cheesmani,Rodentia,Muridae,Gerbillus,LC,0.0683413970069614,0.0769745336267557,1.48887913682446,1.55243849959215,0.0503080750438202,0.0272945960936117,1.32665680296674,0,0.0,1000,direct,Gerbillus_cheesmani,0.0
4581,3671,Hipposideros_semoni,Chiroptera,Hipposideridae,Hipposideros,LC,0.0683241989603512,0.089540244099601,1.30506862753099,1.90247988016449,0.0500695546329511,0.0268162885015442,1.59373530078932,0,0.0,1000,direct,Hipposideros_semoni,0.0
4582,3437,Myodes_rex,Rodentia,Cricetidae,Craseomys,LC,0.0682899482935276,0.0391507422837352,1.39232633503355,0.461090678664041,0.0509721973921851,0.0273091436661889,1.38304783416242,0,0.0,1000,synonym:MSW3,Craseomys_rex,0.0
4583,3655,Crocidura_nigricans,Eulipotyphla,Soricidae,Crocidura,LC,0.068205564207813,0.104133548007722,1.30891963894241,1.97717446323637,0.0506630216596022,0.0277744238965066,1.58073268137529,0,0.0,1000,direct,Crocidura_nigricans,0.0
4584,3557,Hylomyscus_stella,Rodentia,Muridae,Hylomyscus,LC,0.0681981189240224,0.0412003526803048,1.34557262797505,0.398881586134496,0.0512528319872042,0.0276669745496791,1.28186809254041,0,0.0,1000,direct,Hylomyscus_stella,0.0
4585,3427,Fukomys_damarensis,Rodentia,Bathyergidae,Fukomys,LC,0.0681456094664709,0.0628594990397496,1.39707334834142,1.07164325334761,0.0499910179826362,0.027856587485086,1.28623579226566,0,0.0,1000,direct,Fukomys_damarensis,0.0
4586,3457,Perognathus_inornatus,Rodentia,Heteromyidae,Perognathus,LC,0.0681410155506241,0.0446458548239015,1.38342797284036,0.603025214519665,0.0496067788098513,0.0272648231276691,1.2964107717411,0,0.0,1000,direct,Perognathus_inornatus,0.0
4587,3561,Ochotona_pusilla,Lagomorpha,Ochotonidae,Ochotona,LC,0.0681242701534971,0.100316560251765,1.34385271036734,1.83979851061399,0.0508699818092741,0.0284905319896703,1.85507205659803,0,0.0,1000,direct,Ochotona_pusilla,0.0
4588,3640,Neoromicia_zuluensis,Chiroptera,Vespertilionidae,Neoromicia,LC,0.0680045867522609,0.102034264311574,1.31555756822526,1.96473869509108,0.049719432105202,0.0262709538280031,1.44959280817937,0,0.0,1000,direct,Neoromicia_zuluensis,0.0
4589,3370,Parahydromys_asper,Rodentia,Muridae,Parahydromys,LC,0.0678693771549519,0.0457293040140441,1.4236937113913,0.571869538806719,0.0509848803304114,0.0272690648439211,1.28630987317133,0,0.0,1000,direct,Parahydromys_asper,0.0
4590,3573,Papio_cynocephalus,Primates,Cercopithecidae,Papio,LC,0.0678046125891149,0.042763332506831,1.34106308734736,0.485791457858654,0.0510340960581206,0.0281763852028432,1.3197375807678,0,0.0,1000,direct,Papio_cynocephalus,0.0
4591,3489,Bunomys_penitus,Rodentia,Muridae,Bunomys,LC,0.0677145677452656,0.0785850232002942,1.3684804923748,1.63131307547976,0.0502933765978198,0.0259142025783103,1.31103386649149,0,0.0,1000,direct,Bunomys_penitus,0.0
4592,5594,Bdeogale_jacksoni,Carnivora,Herpestidae,Bdeogale,NT,0.0676265545999926,0.0941498229973813,0.564616088797535,0.765180035804271,0.1218772595032,0.0428477057219433,0.70771371797966,0,0.0,1000,direct,Bdeogale_jacksoni,0.0
4593,3620,Eptesicus_floweri,Chiroptera,Vespertilionidae,Cnephaeus,LC,0.0675784044058987,0.121240777031857,1.32103804177284,2.15238238053386,0.0507779188865633,0.0273951417168185,1.75179653500515,0,0.0,1000,synonym:MSW3,Cnephaeus_floweri,0.0
4594,3701,Dermanura_watsoni,Chiroptera,Phyllostomidae,Dermanura,LC,0.0675353865710918,0.0487979566878413,1.29509402432814,0.719269872260403,0.0501807279185153,0.0270878500974161,0.9504853966227,0,0.0,1000,direct,Dermanura_watsoni,0.0
4595,3491,Heteromys_oresterus,Rodentia,Heteromyidae,Heteromys,LC,0.0675333521370944,0.0472250078404411,1.36824177765752,0.719677823886562,0.0496202141554872,0.0273640354166192,1.11466056087511,0,0.0,1000,direct,Heteromys_oresterus,0.0
4596,3757,Eumops_auripendulus,Chiroptera,Molossidae,Eumops,LC,0.0675199835986306,0.0750304660781938,1.27342450027754,1.42984204013642,0.0506302345585567,0.028612614697048,0.747493900617533,0,0.0,1000,direct,Eumops_auripendulus,0.0
