tree,PD,ePDloss
378,76114.343820127,5181.66725953165
379,85458.7506330568,5877.62127970447
380,83754.0796395909,5674.63884744229
381,86367.786073336,5721.50370317346
382,81828.3222360092,5524.09378579295
383,89795.0775525686,5967.98279328254
384,83166.4821947432,5480.4111962503
385,83102.2587934108,5615.44350096288
386,79864.8875984437,5360.69350279068
387,82145.3897860151,5408.16663015433
388,86623.8044872587,5650.40347872637
389,82860.1903461662,5629.84808666011
390,84903.4015138041,5762.67216331235
391,85872.5396692793,5721.77085745997
392,76672.7915684883,5183.63414037681
393,89106.326094769,5893.05639047174
394,89524.626341549,6005.04754101572
395,79561.7035476316,5332.35344487746
396,88290.7380179446,5833.73565507328
397,80324.4688752798,5553.29919773127
398,83621.4409924639,5727.31640981204
399,83603.4335616645,5688.77590744523
400,87775.2116362021,5748.87314914831
401,79180.1630172732,5347.61337421827
402,93844.1190514851,6320.02637594382
403,84858.0552788342,5593.54828099677
404,78610.6566867131,5113.34229314992
405,87111.9885595064,5978.70008069785
406,85598.5799083642,5708.6797351867
407,83574.6117407066,5567.93736452838
408,75734.4182643755,5172.11106394451
409,87535.2687750292,5838.06204528468
410,84980.3690485282,5712.0454024249
411,87407.1698311404,5766.68540043878
412,81552.2348031568,5441.97410974744
413,81904.5847488141,5453.32376725233
414,78675.4271663212,5270.51998910538
415,76305.6731019694,5146.24155183835
416,84685.4393417183,5649.8000521518
417,86291.7264348294,5790.70240132982
418,80356.7313242531,5410.97505732157
419,91936.4107802348,6158.8765157148
420,92988.2590554321,6174.99100485906
421,94907.6157084191,6470.76664551036
422,78006.3259135567,5174.96703631012
423,87628.3501763818,5825.37673291842
424,87830.667086242,5850.28798913512
425,84979.3296494869,5678.19007229855
426,91404.4344694569,6286.26641405303
427,88523.2359278666,5970.3755457519
428,87010.976210514,5821.07717343517
429,84246.0189553185,5706.65975621683
430,87319.423013639,5920.33228437668
431,85814.2282936,5817.85909797184
432,77398.8283685673,5277.12429273966
433,80836.6863347855,5479.59432266275
434,92644.4822508751,6307.75115487858
435,86415.7616839075,5695.62732882139
436,82096.8378398688,5324.59669953461
437,82881.5422154204,5437.65433482757
438,85906.7751942905,5695.68340691174
439,82225.8241597399,5404.69134695742
440,83599.5870261947,5634.66385521717
441,92595.3233991419,6116.13535007869
442,84721.186623536,5600.69478554423
443,86171.6397642366,5711.19728596044
444,92725.832449587,6059.31187183806
445,84950.726660397,5675.11340000459
446,86308.1187793166,5773.26355288559
447,86349.4439981913,5766.12493122018
448,82940.9384826143,5388.79754643873
449,80625.1462910309,5354.70332200378
450,81595.7682535179,5335.74452954769
451,81645.493809505,5535.05238982345
452,83599.8745286183,5614.81268468033
453,85309.5214670067,5648.65251160274
454,82771.5774082063,5589.43104493922
455,83407.795510989,5627.45215951035
456,91532.6336262834,5943.71393366206
457,86211.5307156946,5712.83164249719
458,76435.4437809349,5168.96962308686
459,94634.1127830712,6504.0766881166
460,83834.2981666322,5716.98811720372
461,81296.1676648585,5447.2679591139
462,85133.6752127985,5798.38926568815
463,81896.9049753139,5682.37201588999
464,88556.5844426198,5999.70919146035
465,89227.1401026175,6032.12827861068
466,83171.6581253713,5660.95777955909
467,81815.5541632712,5475.65281890117
468,88037.7212113828,5785.10986365623
469,85147.1130466468,5693.22197683327
470,84183.3628240637,5610.9295598355
471,93059.3481357048,6229.3800830482
472,84700.9767146043,5724.48239349716
473,94709.9470415637,6429.90374896277
474,87872.0177879,5915.52948555574
475,79490.9059184045,5385.66658753386
476,83185.4459440248,5576.96935279537
477,90525.7336753553,6189.99475604571
478,84532.480135955,5690.18299759288
479,84681.1203681801,5584.1398630553
480,84853.6634783772,5699.61815005332
481,80973.9181487093,5476.0740598274
482,83209.7727529263,5605.73581849429
483,87823.8607217703,5800.58547622816
484,82197.8544785135,5531.52828340555
485,81689.1104611402,5613.50955757768
486,78714.4157911519,5239.41045548291
487,81431.2485622696,5416.63550894391
488,87551.2103450572,5825.52298570617
489,82936.7368777261,5735.87645878631
490,80711.6595678802,5494.15767804534
491,87179.030675331,5824.11412864864
492,88604.6796347048,5967.64306410923
